,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
19407,id019407,2,2016-04-08 09:10:08,2016-04-08 09:15:24,1,-74.01612091064453,40.71442031860352,-74.0100326538086,40.72082138061523,N,316
262779,id262779,2,2016-01-22 11:44:04,2016-01-22 11:58:16,1,-73.97442626953125,40.75991821289063,-73.97933959960938,40.75534057617188,N,852
1092451,id1092451,2,2016-06-12 18:00:47,2016-06-12 18:26:27,1,-73.98037719726562,40.78404998779297,-73.96012115478516,40.769508361816406,N,1540
567520,id567520,1,2016-06-22 14:53:29,2016-06-22 15:01:46,1,-73.96998596191406,40.76478958129883,-73.96075439453125,40.76666259765625,N,497
956887,id956887,1,2016-05-21 21:58:02,2016-05-21 22:04:02,1,-74.00235748291014,40.73998641967773,-74.00340270996094,40.73247909545898,N,360
1243554,id1243554,2,2016-06-25 13:04:29,2016-06-25 13:23:56,1,-73.99766540527344,40.72078323364258,-73.98726654052734,40.74062728881836,N,1167
554731,id554731,2,2016-02-22 14:26:36,2016-02-22 14:44:52,6,-73.97805786132812,40.75814056396485,-74.01419830322266,40.70444869995117,N,1096
1186814,id1186814,1,2016-02-12 18:57:25,2016-02-12 18:57:51,1,-73.97964477539062,40.776405334472656,-73.97964477539062,40.776405334472656,Y,26
1019272,id1019272,2,2016-05-06 15:02:11,2016-05-06 15:15:12,3,-73.97332763671875,40.785118103027344,-73.98419952392578,40.75946044921875,N,781
1073137,id1073137,1,2016-04-30 11:33:38,2016-04-30 11:42:24,1,-73.9766845703125,40.78502655029297,-73.97889709472656,40.766765594482415,N,526
450893,id450893,1,2016-06-14 13:36:06,2016-06-14 13:47:37,1,-73.95954132080078,40.773941040039055,-73.96424102783203,40.75543594360352,N,691
619651,id619651,2,2016-02-05 12:29:10,2016-02-05 12:37:09,1,-73.98110961914062,40.776531219482415,-73.9671401977539,40.78860855102539,N,479
298923,id298923,2,2016-05-14 11:56:15,2016-05-14 12:02:13,2,-73.99053955078125,40.74612045288085,-73.97728729248048,40.7635498046875,N,358
355767,id355767,2,2016-03-15 20:37:01,2016-03-15 20:40:56,2,-73.98739624023438,40.76058197021485,-73.98435974121094,40.76965713500977,N,235
